QDGC,richness,QDGC_lon,QDGC_lat
E124S16DD,1,124.875,-16.875
E124S29CC,1,124.125,-29.875
E124S29CD,1,124.375,-29.875
E124S29DD,1,124.875,-29.875
E124S32DB,1,124.875,-32.625
E125S14CA,1,125.125,-14.625
E125S14DA,1,125.625,-14.625
E125S16AD,1,125.375,-16.375
E125S16DB,1,125.875,-16.625
E125S16DC,1,125.625,-16.875
E125S17AA,1,125.125,-17.125
E125S17AB,1,125.375,-17.125
E125S17AD,1,125.375,-17.375
E125S17CB,1,125.375,-17.625
E125S18BB,2,125.875,-18.125
E125S28BB,1,125.875,-28.125
E125S32BB,2,125.875,-32.125
E126S14CD,1,126.375,-14.875
E126S15AD,1,126.375,-15.375
E126S16CA,1,126.125,-16.625
E126S19AA,1,126.125,-19.125
E126S32AA,8,126.125,-32.125
E126S32AB,2,126.375,-32.125
E126S32AC,3,126.125,-32.375
E127S17BA,1,127.625,-17.125
E127S17BC,1,127.625,-17.375
E127S17BD,1,127.875,-17.375
E127S32AA,1,127.125,-32.125
E127S32AC,3,127.125,-32.375
E127S32BA,1,127.625,-32.125
E128S15DB,1,128.875,-15.625
E128S16AB,1,128.375,-16.125
E128S25AA,1,128.125,-25.125
E128S29CC,1,128.125,-29.875
E128S31DB,1,128.875,-31.625
E129S13DD,1,129.875,-13.875
E129S14AD,1,129.375,-14.375
E129S14DD,1,129.875,-14.875
E129S15BC,1,129.625,-15.375
E129S15CA,1,129.125,-15.625
E129S15DA,1,129.625,-15.625
E129S16DB,1,129.875,-16.625
E130S11AC,2,130.125,-11.375
E130S11AD,1,130.375,-11.375
E130S11BC,1,130.625,-11.375
E130S11BD,1,130.875,-11.375
E130S11CA,1,130.125,-11.625
E130S11CB,3,130.375,-11.625
E130S11CC,4,130.125,-11.875
E130S11CD,1,130.375,-11.875
E130S11DA,2,130.625,-11.625
E130S11DB,2,130.875,-11.625
E130S11DC,3,130.625,-11.875
E130S12BD,1,130.875,-12.375
E130S12DA,1,130.625,-12.625
E130S12DB,2,130.875,-12.625
E130S12DD,1,130.875,-12.875
E130S13AA,1,130.125,-13.125
E130S13BA,1,130.625,-13.125
E130S13BB,2,130.875,-13.125
E130S13CB,1,130.375,-13.625
E130S15BC,1,130.625,-15.375
E130S17BD,1,130.875,-17.375
E131S11AD,1,131.375,-11.375
E131S11BD,1,131.875,-11.375
E131S11CA,2,131.125,-11.625
E131S12AC,1,131.125,-12.375
E131S12CA,2,131.125,-12.625
E131S13AA,1,131.125,-13.125
E131S13CA,1,131.125,-13.625
E131S13CC,1,131.125,-13.875
E131S13CD,1,131.375,-13.875
E131S13DD,1,131.875,-13.875
E131S14DA,1,131.625,-14.625
