Species,Specimen,Voucher,ETS,ITS,rbcL,rps16,trn,Total-markers
Schoenus discifer,discifer-B5330,Barrett 5330,0,1,0,0,0,1
Schoenus discifer,discifer-B5346,Barrett 5346,0,1,0,0,0,1
Schoenus discifer,discifer-B5877,Barrett 5877,0,1,0,0,0,1
Schoenus dregeanus,dregeanus-204,TE2016_204,1,0,1,0,1,3
Schoenus dregeanus,dregeanus-213,TE2016_213,1,0,0,0,0,1
Schoenus efoliatus,efoliatus-B5327,Barrett 5327,0,1,0,0,0,1
Schoenus efoliatus,efoliatus-B5341,Barrett 5341,0,1,0,0,0,1
Schoenus efoliatus,efoliatus-CANB51037,CANB51037,0,1,0,0,0,1
Schoenus efoliatus,efoliatus-V1235,Verboom 1235,1,0,1,1,1,4
Schoenus ericetorum,ericetorum-G38C,Gibbs 38C,0,1,0,0,0,1
